id	display	issn
AK00000002	Forschungen. - Forschungen	0720-7662
AK00000029	Germanistische Abhandlungen	0435-5903
AK00000034	Sprache und Literatur	0584-9446
AK00000037	Deutsche Geschichtsquellen des 19. und 20. Jahrhunderts	0344-1687
AK00000040	Abhandlungen zur Philosophie, Psychologie und Pädagogik	0065-0366
AK00000040	Abhandlungen zur Philosophie, Psychologie und Pädagogik	0065-4999
AK00000040	Abhandlungen zur Philosophie, Psychologie und Pädagogik	0567-4999
AK00000044	Sammlung Metzler : Realienbücher für Germanisten	0558-3667
AK00000090	Bonner Arbeiten zur deutschen Literatur	0068-001X
AK00000093	Neudrucke deutscher Literaturwerke	0077-7688
AK00000105	Seges : etudes et textes de philologie et littérature = Studien und Texte zur Philologie und Literatur	0582-3951
AK00000107	Basler Studien zur deutschen Sprache und Literatur	0067-4508
AK00000120	Indices zur deutschen Literatur	0073-7208
AK00000123	Duden-Beiträge zu Fragen der Rechtschreibung, der Grammatik und des Stils	0419-7968
AK00000128	University of Toronto romance series	0082-5336
AK00000130	Schriften der Gesellschaft für Theatergeschichte	0176-8891
AK00000135	Grundzüge	0533-344X
AK00000139	Kölner germanistische Studien	0454-1308
AK00000143	Studien zur deutschen Literatur	0081-7236
AK00000168	Thomas-Mann-Studien	0563-4822
AK00000180	Mainzer philosophische Forschungen	0076-2776
AK00000188	Hamburger philologische Studien	0072-9582
AK00000206	Medizin in Geschichte und Kultur	0047-6625
AK00000215	Frankfurter Beiträge zur Germanistik	0071-9226
AK00000222	Textausgaben zur frühen sozialistischen Literatur in Deutschland	0081-3257
AK00000226	Beiträge zum Buch- und Bibliothekswesen	0408-8107
AK00000235	Dissertationen der Universität Wien	0379-1424
AK00000246	Literatur und Reflexion	0930-1518
AK00000251	Kanadische Studien zur deutschen Sprache und Literatur	0171-6859
AK00000254	Impulse der Forschung	0174-0687
AK00000260	Approaches to translation studies	0169-0523
AK00000262	UTB. - Uni-Taschenbücher	0340-7225
AK00000289	[Acta Universitatis Upsaliensis / Studia Germanistica Upsaliensia] Studia Germanistica Upsaliensia	0585-5160
AK00000299	Australisch-neuseeländische Studien zur deutschen Sprache und Literatur	0171-6867
AK00000302	Göteborger germanistische Forschungen	0072-4793
AK00000318	Dissertationen der Universität Salzburg	0259-0700
AK00000327	Beiträge zur Alexander-von-Humboldt-Forschung	0232-1556
AK00000329	Britische und irische Studien zur deutschen Sprache und Literatur	0171-6662
AK00000338	Erlanger Studien	0179-1710
AK00000356	[Publikationen des Fachbereichs Angewandte Sprachwissenschaft der Johannes Gutenberg-Universität Mainz in Germersheim / A] Reihe A: Abhandlungen und Sammelbände	0171-7340
AK00000361	Neue Studien zur Anglistik und Amerikanistik	0170-8848
AK00000369	Elementa : Schriften zur Philosophie und ihrer Problemgeschichte	0013-5933
AK00000376	Studien zur Geschichte der Akademie der Wissenschaften der DDR	0138-4112
AK00000378	Reihe germanistische Linguistik : RGL	0344-6778
AK00000388	[Regensburger Beiträge zur deutschen Sprach- und Literaturwissenschaft / A] Reihe A, Quellen	0171-7170
AK00000392	Studien zur Kunstgeschichte	0175-9558
AK00000394	Schriften zur Philosophie und ihrer Geschichte	0138-3418
AK00000401	Auslandsdeutsche Literatur der Gegenwart : Beiträge zur Literatur- und Kulturgeschichte	0175-842X
AK00000411	Materialien zur Rundfunkgeschichte	0930-5416
AK00000413	Tübinger Studien zur deutschen Literatur	0171-7235
AK00000415	Deutsche und vergleichende Literaturwissenschaft	0720-2806
AK00000423	Studien zur Geschichte der Kulturbeziehungen in Mittel- und Osteuropa	0724-178X
AK00000473	Artes populares : studia ethnographica et folkloristica	0170-8198
AK00000476	Kasseler Arbeiten zur Sprache und Literatur : Anglistik - Germanistik - Romanistik	0170-8805
AK00000505	Würzburger Hochschulschriften zur neueren deutschen Literaturgeschichte	0170-9429
AK00000518	[Acta Universitatis Umensis / Umeå studies in the humanities] Acta Universitatis Umensis	0345-0155
AK00000526	Wolfenbütteler Forschungen	0724-9594
AK00000526	Wolfenbütteler Forschungen	0724-472X
AK00000533	Reihe: Politik- und Gesellschaftsgeschichte	0941-7621
AK00000543	Publications de l'Université de Rouen	0244-5603
AK00000562	Modern German studies	0170-3013
AK00000569	Beiträge zur Literatur und Literaturwissenschaft des 20. Jahrhunderts	0721-2968
AK00000583	Contributions in political science	0147-1066
AK00000589	Germanic studies in America	0721-3727
AK00000608	Germanistische Symposien Berichtsbände	0936-3890
AK00000612	Konzeption empirische Literaturwissenschaft	0939-6691
AK00000618	Schriften zur Literaturwissenschaft	0720-6720
AK00000672	Yearbook of European studies	0920-4792
AK00000678	Bibliographien zur Philosophie	0173-1831
AK00000711	Texts and dissertations	0957-0322
AK00000717	Bithell series of dissertations	0266-7932
AK00000732	Islam und Abendland	0721-3077
AK00000734	Saecula spiritalia	0343-2009
AK00000737	Analysen und Dokumente : Beiträge zur Neueren Literatur	0721-2925
AK00000742	Marbacher Katalog	2363-5428
AK00000751	Studien und Texte zur Sozialgeschichte der Literatur	0174-4410
AK00000763	Seltene Texte aus der deutschen Romantik	0172-1399
AK00000765	Mannheimer Beiträge zur Sprach- und Literaturwissenschaft	0175-3169
AK00000779	Reihe Barock. - Reihe Barock	0418-8926
AK00000787	[American university studies / 1] Series 1, Germanic languages and literature	0721-1392
AK00000817	Quadrige	0291-0489
AK00000830	Wolfenbütteler Schriften zur Geschichte des Buchwesens	0724-9586
AK00000850	Sprache in der Gesellschaft : Beiträge zur Sprachwissenschaft	0721-4081
AK00000860	Bayreuther Beiträge zur Literaturwissenschaft	0721-2844
AK00000874	Werkstattreihe Deutsch als Fremdsprache	0721-4278
AK00000885	Forschungen zur Literatur- und Kulturgeschichte	0723-0400
AK00000929	Wuppertaler Schriftenreihe Literatur	0341-2172
AK00000936	Historisch-kritische Arbeiten zur deutschen Literatur	0721-3093
AK00000957	Germanistische Arbeiten zu Sprache und Kulturgeschichte	0723-3191
AK00000959	Literatur als Sprache : Literaturtheorie, Interpretation, Sprachkritik	1436-6533
AK00000963	Sammlung Profile	0723-7626
AK00000973	Studien zur Germanistik und Anglistik	0721-4065
AK00000976	Erziehungsphilosophie	0723-2551
AK00000979	Judentum und Umwelt	0721-3131
AK00000987	Schriften des Fritz-Hüser-Instituts für Literatur und Kultur der Arbeitswelt	1436-1973
AK00000997	Marburger germanistische Studien	0724-2522
AK00001002	Berliner Beiträge zur neueren deutschen Literaturgeschichte	0721-2984
AK00001009	Beiträge zur neuen Epochenforschung	0721-295X
AK00001011	Brecht-Studien	0232-2617
AK00001025	Salzburger Schriften zur Rechts-, Staats- und Sozialphilosophie	0721-4324
AK00001029	[American university studies / 3] Ser. 3, Comparative literature	0724-1445
AK00001049	Opuscula Fenno-Ugrica Gottingensia	0721-4014
AK00001057	Theorie und Vermittlung der Sprache	0724-9144
AK00001059	Studien zum Theater, Film und Fernsehen	0721-4162
AK00001062	France - Autriche	0292-6970
AK00001066	Gießener Arbeiten zur neueren deutschen Literatur und Literaturwissenschaft	0721-7897
AK00001075	[American university studies / 5] Series 5, Philosophy	0739-6392
AK00001088	Ludwigsburger Hochschulschriften : LHS	0724-5521
AK00001095	Reihe Geschichtswissenschaft	0177-2767
AK00001104	Arbeiten und Bibliographien zum Buch- und Bibliothekswesen	0724-5254
AK00001106	Reihe Sprach- und Literaturwissenschaft	0177-2821
AK00001134	Schriften des Arbeitskreises selbständiger Kultur-Institute	0176-9472
AK00001141	Viennese heritage	0169-1724
AK00001146	Sitzungsberichte der Heidelberger Akademie der Wissenschaften, Philosophisch-Historische Klasse. - Supplemente	0933-5323
AK00001153	Philosophie und Geschichte der Wissenschaften : Studien und Quellen	0724-4479
AK00001155	Europäische Hochschulschriften. - Reihe 39, Interdisziplinäre Kongressberichte : [Konferenzschrift]	0175-808X
AK00001162	Probleme der Semiotik	0933-4483
AK00001171	[American University Studies / 19] Ser. 19, General literature	0743-6645
AK00001173	Bibliographien: Buch, Bibliothek, Literatur	1436-0195
AK00001191	Arbeiten zur Sprachanalyse	0932-8912
AK00001196	Beiträge zur Kunstwissenschaft	0175-7202
AK00001218	Études littéraires	0764-1621
AK00001218	Études littéraires	0764-1621
AK00001291	[Collection Savoir / Lettres] Collection Savoir	1159-6864
AK00001434	Forschungen zum Junghegelianismus : Quellenkunde, Umkreisforschung, Theorie, Wirkungsgeschichte	1430-9998
AK00001588	Europäische Hochschulschriften. - Reihe 40, Kommunikationswissenschaft und Publizistik = Communication = Media et Journalisme, Communication	0176-3725
AK00001594	Gustav-Kiepenheuer-Bücherei	0433-0153
AK00001599	Série 2, Gallo-Germanica. - Sér. 2, Gallo-Germanica	0933-6087
AK00001609	Soemmerring-Forschungen : Beiträge zur Naturwissenschaft u. Medizin d. Neuzeit	0176-876X
AK00001614	Kybernetik und Information	0452-957X
AK00001822	Insel-Bücherei	0233-1047
AK00001873	Abhandlungen zur Sprache und Literatur	0178-8515
AK00001933	Konstanzer Bibliothek	0933-1204
AK00001958	Passages	0298-9972
AK00001998	Reihe Philosophie	0177-2783
AK00002005	Studien der Forschungsstelle Ostmitteleuropa an der Universität Dortmund	0179-6356
AK00002020	Würzburger Studien zur Fundamentaltheologie	0179-4566
AK00002148	[GDR monitor / Special series] GDR monitor	0262-1789
AK00002154	Stauffenburg-Colloquium	0940-3795
AK00002179	Ausstellungskataloge	0340-0700
AK00002186	Studien zur deutschen Literatur des 19. und 20. Jahrhunderts	0930-2166
AK00002208	Hamburger Beiträge zur Germanistik	0930-0023
AK00002216	[Schriften des Fritz-Hüser-Instituts für Deutsche und Ausländische Arbeiter-Literatur der Stadt Dortmund / 2] Schriften des Fritz-Hüser-Instituts für Deutsche und Ausländische Arbeiter-Literatur der Stadt Dortmund	1436-1973
AK00002242	Studies in intercultural communication : SIC	0931-2420
AK00002246	Akten internationaler Kongresse auf den Gebieten der Ästhetik und der Literaturwissenschaft : [Konferenzschrift]	0177-4700
AK00002249	Sammlung Groos	0344-0591
AK00002257	Ambacher Schriften	0179-4922
AK00002280	[Theorie und Forschung / Psychologie] Psychologie	0939-1827
AK00002325	Bochumer Schriften zur deutschen Literatur	0177-686X
AK00002357	Discographies	0192-334X
AK00002360	[Contacts / 3] Contacts	0933-6095
AK00002376	Münstersche Beiträge zur deutschen und nordischen Philologie	0930-7494
AK00002386	Stendhal-Hefte	0940-2659
AK00002409	DDR-Studien	0882-7095
AK00002443	Münchener Studien zur literarischen Kultur in Deutschland	0178-7640
AK00002477	Aus Deutschlands Mitte : eine Schriftenreihe der Stiftung Mitteldeutscher Kulturrat, Bonn	0341-0749
AK00002479	Musikwissenschaftliche Studien	0931-3095
AK00002499	Name und Wort : Göttinger Arbeiten zur niederdt. Philologie	0179-8561
AK00002528	Homosexualität und Literatur	0931-9476
AK00002530	Internationale Hochschulschriften	0932-4763
AK00002568	Mainzer Forschungen zu Drama und Theater	0940-4767
AK00002573	Studies in modern German literature	0888-3904
AK00002599	Diskurs Film : Münchner Beiträge zur Filmphilologie	0931-1416
AK00002632	New York University Ottendorfer series	0172-3529
AK00002654	Trouvaillen : Editionen zur Literatur- und Kulturgeschichte	0931-8542
AK00002679	Hofgeismarer Protokolle : Tagungsbeiträge aus der Arbeit der Evangelischen Akademie Hofgeismar	0931-0398
AK00002703	Circé : cahiers de recherche sur l'imaginaire	0069-4177
AK00002750	Schriften des Händel-Hauses in Halle	0232-3214
AK00002754	The ... Bithell memorial lecture	0144-9850
AK00002765	Kaiser-Taschenbücher : KT	0931-7732
AK00002816	[Theorie und Forschung / Literaturwissenschaft] Literaturwissenschaft	0939-1754
AK00002843	[Acta Germanica <Frankfurt, M.>] Acta Germanica : German studies in Africa ; Jahrbuch des Germanistenverbandes im südlichen Afrika	0012-1487
AK00002843	[Acta Germanica <Frankfurt, M.>] Acta Germanica : German studies in Africa ; Jahrbuch des Germanistenverbandes im südlichen Afrika	0065-1273
AK00002844	Acta litteraria Academiae Scientiarum Hungaricae	0567-7661
AK00002845	Acta philologica Scandinavica : tidsskrift for nordisk sprogforskning	0001-6691
AK00002846	Acta Universitatis Wratislaviensis	0239-6661
AK00002852	Akzente : Zeitschrift für Literatur	0002-3957
AK00002853	Alternative : Zeitschrift für Literatur und Diskussion	0002-6611
AK00002861	Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae. - Sectio philosophica et sociologica	0524-9023
AK00002862	Antike und Abendland : Beiträge zum Verständnis der Griechen und Römer und ihres Nachlebens	0003-5696
AK00002863	Das Antiquariat : Halbmonatsschr. für alle Fachgebiete d. Buch- u. Kunstantiquariats	0003-5793
AK00002864	Kunstgeschichtliche Anzeigen	0023-5490
AK00002865	Freie Bühne für den Entwickelungskampf der Zeit	0932-2515
AK00002868	L' Arc : revue trimestrielle	0003-7974
AK00002872	Archiv für Kulturgeschichte : AKG	0003-9233
AK00002883	Schweizerisches Archiv für Volkskunde : Vierteljahresschr	0036-794X
AK00002884	Archiv für Sippenforschung und alle verwandten Gebiete	0003-9403
AK00002886	Archiv für das Studium der neueren Sprachen und Literaturen	0003-8970
AK00002887	Archives de philosophie : recherches et documentation ; revue trimestrielle	0003-9632
AK00002890	[Das Argument <Berlin>] Das Argument : Zeitschrift für Philosophie und Sozialwissenschaften	0004-1157
AK00002891	Art news	0004-3273
AK00002892	Art news annual	0066-7994
AK00002893	The Art quarterly	0004-3303
AK00002894	Attempto : Nachrichten für die Freunde der Tübinger Universität	0519-3699
AK00002897	Aurora : Jahrbuch der Eichendorff-Gesellschaft	0341-1230
AK00002899	[Aussenpolitik / Deutsche Ausgabe] Aussenpolitik : German foreign affairs review	0587-3835
AK00002899	[Aussenpolitik / Deutsche Ausgabe] Aussenpolitik : German foreign affairs review	0004-8194
AK00002901	Aut aut : rivista di filosofia e di cultura	0005-0601
AK00002902	In Baden-Württemberg : Kultur, Leben, Natur	0404-6307
AK00002902	In Baden-Württemberg : Kultur, Leben, Natur	0940-1091
AK00002904	Der Bär von Berlin : Jahrbuch des Vereins für die Geschichte Berlins : [Bibliographie enthalten]	0522-0033
AK00002906	Basis : Jahrbuch für deutsche Gegenwartsliteratur	0067-446X
AK00002907	Die Begegnung : Autor, Verleger, Buchhändler, Leser ; Jahresgruß d. Buchh. Elwert & Meurer	0522-5973
AK00002909	Beiträge zur Geschichte der deutschen Sprache und Literatur	0323-424X
AK00002911	Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076
AK00002912	Beiträge zur romanischen Philologie	0005-8181
AK00002913	Weimarer Beiträge : Zeitschrift für Literaturwissenschaft, Ästhetik und Kulturwissenschaften	0043-2199
AK00002921	Bericht	0585-3044
AK00002924	BZG : Beiträge zur Geschichte der Arbeiterbewegung	0005-8068
AK00002934	Sächsische Bibliographie : Berichtsjahr ... und Nachträge aus früheren Jahren : [Bibliographie]	0419-7305
AK00002934	Sächsische Bibliographie : Berichtsjahr ... und Nachträge aus früheren Jahren : [Bibliographie]	0410-7305
AK00002935	Bibliothek und Wissenschaft : BuW	0067-8236
AK00002936	Der Bibliothekar <Leipzig, 1950-1990> : Zeitschrift für das Bibliothekswesen	0006-1964
AK00002938	Bibliotheksdienst	0006-1972
AK00002940	Bibliothèque de l'Ecole des Chartes : revue d'érudition	0373-6237
AK00002941	[Biblos <Wien>] Biblos : Beiträge zu Buch, Bibliothek und Schrift	0006-2022
AK00002942	Blätter für den Deutschlehrer	0006-4394
AK00002943	Blätter für württembergische Kirchengeschichte	0341-9479
AK00002944	Lyrische Blätter	0456-9350
AK00002945	Blätter für deutsche und internationale Politik	0006-4416
AK00002946	Blätter der Thomas-Mann-Gesellschaft, Zürich	0082-4186
AK00002947	Blätter der Freien Volksbühne Berlin	0006-4378
AK00002949	Börsenblatt für den deutschen Buchhandel <Leipzig> : bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel	0006-5641
AK00002950	Das historisch-politische Buch : HPB	0018-2605
AK00002955	[Buchmarkt <Meerbusch>] Buchmarkt : das Ideenmagazin für den Buchhandel	0524-8426
AK00002956	Bürger & Staat	0007-3121
AK00002966	Bulletin de littérature ecclésiastique	0007-4322
AK00002973	The Burlington magazine	0007-6287
AK00002974	Leuvense bijdragen : lb ; tijdschrift voor germaanse filologie	0024-1482
AK00002975	Chronik des Wiener Goethe-Vereins	0257-2575
AK00002977	Colloquia Germanica : internationale Zeitschrift für Germanistik	0010-1338
AK00002978	Critique : revue générale des publications françaises et étrangères ; publication mensuelle	0011-1600
AK00002979	Daedalus : journal of the American Academy of Arts and Sciences	0011-5266
AK00002981	Deutsches Dante-Jahrbuch	0070-444X
AK00002983	Deutschland-Archiv : Zeitschrift für das vereinigte Deutschland	0012-1428
AK00002985	Der Deutschunterricht : Beiträge zu seiner Praxis und wissenschaftlichen Grundlegung	0340-2258
AK00002988	Internationale Dialog-Zeitschrift	0020-9228
AK00002989	Diskus : Frankfurter Student-innenzeitschrift	0012-3730
AK00002991	Modern drama	0026-7694
AK00002992	Die Drei : Zeitschrift für Anthroposophie in Wissenschaft, Kunst und sozialem Leben	0012-6063
AK00002994	Einheit : Zeitschrift für Theorie und Praxis des Wissenschaftlichen Sozialismus	0013-2659
AK00002996	Encounter : literature, arts, current affairs	0013-7073
AK00002997	Ensemble : Lyrik, Prosa, Essay ; internat. Jahrbuch für Literatur	0343-6527
AK00002999	Erasmus : speculum scientiarum ; internat. bulletin of contemporary scholarship	0013-9955
AK00003000	Esprit : comprendre le monde qui vient	0014-0759
AK00003002	Études : revue fondée par des pères de la Compagnie de Jésus	0014-1941
AK00003002	Études : revue fondée par des pères de la Compagnie de Jésus	0994-5954
AK00003004	Études germaniques : revue trimestrielle de la Société des Études Germaniques	0014-2115
