id	display	zdb
AK00000002	Forschungen. - Forschungen	184745-4
AK00000006	Veröffentlichungen der Deutschen Schillergesellschaft	253901-9
AK00000011	University of North Carolina studies in the Germanic languages and literatures : UNCSGL and L	973647-5
AK00000034	Sprache und Literatur	515687-7
AK00000044	Sammlung Metzler : Realienbücher für Germanisten	259111-x
AK00000088	Basler Universitätsreden	984135-0
AK00000105	Seges : etudes et textes de philologie et littérature = Studien und Texte zur Philologie und Literatur	1057982-5
AK00000112	Philosophische Bibliothek	536403-6
AK00000139	Kölner germanistische Studien	847380-8
AK00000143	Studien zur deutschen Literatur	528358-9
AK00000166	Grundlagen der Germanistik	537508-3
AK00000190	Saggi	410152-2
AK00000192	Studi di filologia tedesca	1055759-3
AK00000196	Quellen und Beiträge zur Geschichte der Jugendbewegung	527583-0
AK00000198	Das Abendland : Forschungen zur europäischen Literatur- und Ideengeschichte	501839-0
AK00000202	Göttinger Universitätsreden	984425-9
AK00000215	Frankfurter Beiträge zur Germanistik	501048-2
AK00000226	Beiträge zum Buch- und Bibliothekswesen	525853-4
AK00000232	Untersuchungen zur österreichischen Literatur des 20. Jahrhunderts	503377-9
AK00000235	Dissertationen der Universität Wien	507767-9
AK00000262	UTB. - Uni-Taschenbücher	972280-4
AK00000295	Wiener Arbeiten zur deutschen Literatur	526014-0
AK00000302	Göteborger germanistische Forschungen	771903-6
AK00000305	Rot	258598-4
AK00000320	Wiener Neudrucke : Neuausgaben und Erstdrucke deutscher literarischer Texte	120441-5
AK00000327	Beiträge zur Alexander-von-Humboldt-Forschung	505903-3
AK00000343	Salzburger romanistische Schriften	185863-1
AK00000369	Elementa : Schriften zur Philosophie und ihrer Problemgeschichte	192959-8
AK00000386	Königs Erläuterungen und Materialien	546050-5
AK00000392	Studien zur Kunstgeschichte	188562-5
AK00000394	Schriften zur Philosophie und ihrer Geschichte	527382-1
AK00000415	Deutsche und vergleichende Literaturwissenschaft	537077-2
AK00000447	Reihe Siegen : Beiträge zur Literatur-, Sprach- und Medienwissenschaft : eine Schriftenreihe der Universität Siegen	539476-4
AK00000460	Retrospektive	997681-4
AK00000473	Artes populares : studia ethnographica et folkloristica	536891-1
AK00000486	Schweizer Texte	551657-2
AK00000515	Nürnberger Liebhaberausgaben	2467687-1
AK00000523	Schriften der Winckelmann-Gesellschaft	188938-2
AK00000526	Wolfenbütteler Forschungen	544034-8
AK00000585	Erato-Druck	2423501-5
AK00000593	[Epistemata / Reihe Philosophie] Epistemata : Würzburger wissenschaftliche Schriften	569970-8
AK00000606	Stuttgarter Nachdrucke zur Literatur des 19. [neunzehnten] und 20. Jahrhunderts	1115785-9
AK00000608	Germanistische Symposien Berichtsbände	605324-5
AK00000618	Schriften zur Literaturwissenschaft	569474-7
AK00000620	[Epistemata / Reihe Literaturwissenschaft] Epistemata : Würzburger wissenschaftliche Schriften	569976-9
AK00000665	Neues lotes Folum : Zeitschrift für die Poesie und die Revolution und	967475-5
AK00000672	Yearbook of European studies	228670-1
AK00000684	Literatur in der Geschichte, Geschichte in der Literatur	585837-9
AK00000713	Die Volksbühne : Monatsschrift des Bundes Deutscher Volksbühnen	978583-8
AK00000727	Akademie-Katalog	841520-1
AK00000742	Marbacher Katalog	2363-5428
AK00000751	Studien und Texte zur Sozialgeschichte der Literatur	579006-2
AK00000772	Kleine Vandenhoeck-Reihe	255845-2
AK00000794	Illustrierte Sammelbände WOKS	806744-2
AK00000817	Quadrige	1198266-4
AK00000830	Wolfenbütteler Schriften zur Geschichte des Buchwesens	554130-x
AK00000846	Marburger Universitätsreden	974579-8
AK00000860	Bayreuther Beiträge zur Literaturwissenschaft	231500-2
AK00000872	Themen, Texte, Interpretationen : TTI	1109188-5
AK00000904	Studies in German literature, linguistics, and culture	250444-3
AK00000916	Heyne-Bücher	258145-0
AK00000936	Historisch-kritische Arbeiten zur deutschen Literatur	1120428-X
AK00000981	[Theorie und Geschichte der Literatur und der schönen Künste / A] Theorie und Geschichte der Literatur und der schönen Künste : Texte und Abhandlungen	1177759-x
AK00000987	Schriften des Fritz-Hüser-Instituts für Literatur und Kultur der Arbeitswelt	2602530-9
AK00000992	Studien zur Geistesgeschichte	1116345-8
AK00000995	Übergänge : Texte und Studien zu Handlung, Sprache und Lebenswelt	846896-5
AK00001009	Beiträge zur neuen Epochenforschung	996154-9
AK00001017	Schwyzer Hefte	1116773-7
AK00001053	[Dissertationen / Philosophische Reihe] Dissertationen	2196021-5
AK00001066	Gießener Arbeiten zur neueren deutschen Literatur und Literaturwissenschaft	999607-2
AK00001071	Vorträge	236830-4
AK00001080	[Theorie und Geschichte der Literatur und der schönen Künste / C] Reihe C, Ästhetik, Kunst u. Literatur in d. Geschichte d. Neuzeit : Texte u. Abhandlungen ; Neue Folge	1180715-5
AK00001088	Ludwigsburger Hochschulschriften : LHS	629269-0
AK00001119	Germanistik	1437318-X
