zdb_id	zdb_264_a	zdb_041_a	zdb_776_w
			
1459039-6	Berlin␟Heidelberg␟New York	ger	(DE-600)95932-7␟(DE-101)01066999X
1459210-1	Berlin␟Heidelberg␟New York	eng	(DE-600)1357321-4␟(DE-101)018561993
1462477-1	Amsterdam [u.a.]␟Orlando, Fla.	eng	(DE-600)7448-2␟(DE-101)010099654
1462883-1	Amsterdam [u.a.]␟London	eng	(DE-600)56461-8␟(DE-101)010497455
1465932-3	Berlin␟Berlin␟Berlin␟Berlin	ger	(DE-600)1091-1␟(DE-101)010012052
1467864-0	Frankfurt, Main␟Berlin␟New York, NY	ger	(DE-600)2071720-9␟(DE-101)023207973
1469023-8	Berlin	eng	(DE-600)3382-0␟(DE-101)010050558
1469783-X	Amsterdam␟London [u.a.]␟London	eng	(DE-600)184567-6␟(DE-101)011003111
1473741-3	Baltimore, Md.	eng	(DE-600)430170-5␟(DE-101)012438154
1473755-3	New York, NY	eng	(DE-600)3156-2␟(DE-101)010046755
1474943-9	London␟London	eng	(DE-600)214775-0␟(DE-101)011255110
1475387-X	London	eng	(DE-600)134004-9␟(DE-101)010777482
1475451-4	Oxford␟Oxford	eng	(DE-600)3376-5␟(DE-101)010050450
1475526-9	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)1115400-7␟(DE-101)016449932
1475527-0	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)120391-5␟(DE-101)010676546
1475530-0	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)1013586-8␟(DE-101)015466051
1475531-2	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)1070272-6␟(DE-101)016014804
1476602-4	Berlin [u.a.]	eng	(DE-600)1028706-1␟(DE-101)015612295
1478078-1	Abingdon [u.a.]␟London [u.a.]␟Amsterdam	eng	(DE-600)1109515-5␟(DE-101)016392884
1478082-3	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)1193661-7␟(DE-101)017208483
1478488-9	Bradford	eng	(DE-600)1286858-9␟(DE-101)017959020
1478688-6	Dordrecht␟Dordrecht␟Boston␟Dordrecht	eng	(DE-600)868017-6␟(DE-101)014766825
1478974-7	Oxford	eng	(DE-600)3513-0␟(DE-101)01005278X
1478982-6	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)4997-9␟(DE-101)010073736
1479775-6	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)1327858-7␟(DE-101)018303056
1479864-5	Bradford␟Bradford␟[London]	eng	(DE-600)3021-1␟(DE-101)010044310
1480525-X	New York, NY [u.a.]	eng	(DE-600)232940-2␟(DE-101)011395389
1480658-7	Oxford [u.a.]␟Oxford [u.a.]	eng	(DE-600)632984-6␟(DE-101)013671774
1480671-X	Baltimore, Md.	eng	(DE-600)187906-6␟(DE-101)011032294
1480730-0	New York, NY [u.a.]	eng	(DE-600)131841-X␟(DE-101)010758437
1480900-X	New York, NY [u.a.]	eng	(DE-600)225640-X␟(DE-101)011339381
1480958-8	New York, NY [u.a.]	eng	(DE-600)135559-4␟(DE-101)010788905
1480982-5	New York, NY [u.a.]	eng	(DE-600)3381-9␟(DE-101)010050531
1481000-1	Baltimore, Md.	eng	(DE-600)752231-9␟(DE-101)014074699
1481042-6	Oxford [u.a.]␟Oxford␟Oxford	eng	(DE-600)267-7␟(DE-101)010002219
1481155-8	Baltimore, Md.	eng	(DE-600)1234863-6␟(DE-101)017606306␟(DE-600)206292-6␟(DE-101)011186321
1481175-3	Baltimore, Md.	eng	(DE-600)6980-2␟(DE-101)010094156
1481242-3	New York, NY [u.a.]	eng	(DE-600)120213-3␟(DE-101)01067487X
1481255-1	Oxford␟Oxford	eng	(DE-600)1167977-3␟(DE-101)016959582
1481290-3	Oxford␟Oxford [u.a.]␟Oxford [u.a.]	eng	(DE-600)207519-2␟(DE-101)011196343
1481501-1	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)1070283-0␟(DE-101)01601491X
1481509-6	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)18188-2␟(DE-101)010232389
1481685-4	Philadelphia, Pa.␟Baltimore, Md.	eng	(DE-600)3051-X␟(DE-101)010044833
1481780-9	Leiden [u.a.]␟Amsterdam	ger	(DE-600)121258-8␟(DE-101)010683852
1481800-0	Abingdon [u.a.]␟New York, NY [u.a.]	eng	(DE-600)1469244-2␟(DE-101)019624042
1482696-3	Oxford␟Oxford	eng	(DE-600)506065-5␟(DE-101)012657077
1482705-0	Thousand Oaks, Calif.	eng	(DE-600)1039290-7␟(DE-101)015714594
1482715-3	London [u.a.]	eng	(DE-600)1439990-8␟(DE-101)019339143
1484288-9	London [u.a.]	eng	(DE-600)1031517-2␟(DE-101)015639312
1490798-7	Oxford␟Oxford	eng	(DE-600)619283-X␟(DE-101)013588850
1491353-7	London␟Manchester	eng	(DE-600)197963-2␟(DE-101)011119136
1494070-X	Thousand Oaks, Calif. [u.a.]	eng	(DE-600)123176-5␟(DE-101)01069143X
1495391-2	Oxford [u.a.]␟Athens, Ohio␟Baltimore, Md.␟Oxford [u.a.]	eng	(DE-600)415916-0␟(DE-101)012312126
1495453-9	Oxford␟Oxford	eng	(DE-600)1194552-7␟(DE-101)017217164
1495591-X	Oxford␟[Erscheinungsort nicht ermittelbar]␟Lisse	eng	(DE-600)197282-0␟(DE-101)011113103
1496489-2	Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)283841-2␟(DE-101)011766735
1500238-X	Thousand Oaks, Calif. [u.a.]␟Getzville, NY	eng	(DE-600)186607-2␟(DE-101)011021020
1500250-0	Bradford␟Bradford	eng	(DE-600)790046-6␟(DE-101)014358506
1500477-6	Amsterdam [u.a.]	eng	(DE-600)191982-9␟(DE-101)011066393
1500493-4	Amsterdam [u.a.]	eng	(DE-600)434405-4␟(DE-101)012471356
1500755-8	Amsterdam [u.a.]	eng	(DE-600)202358-1␟(DE-101)011152656
1500760-1	Amsterdam [u.a.]	eng	(DE-600)1293343-0␟(DE-101)018021433
1500765-0	Amsterdam [u.a.]	eng	(DE-600)1402673-9␟(DE-101)018975755
1500775-3	Amsterdam [u.a.]	eng	(DE-600)189289-7␟(DE-101)01104408X
1501504-X	London␟East Grinstead	eng	(DE-600)1067668-5␟(DE-101)015989607
2001559-8	Bradford␟Bradford	eng	
2001596-3	Thousand Oaks, Calif. [[u.a.]]␟Twickenham	eng	(DE-600)3312-1␟(DE-101)010049436
2001687-6	London [u.a.]	eng	(DE-600)1144402-2␟(DE-101)016731069
2002009-0	Oxford␟Oxford [u.a.]␟Oxford [u.a.]	eng	(DE-600)209192-6␟(DE-101)011210362
2002010-7	Oxford␟Oxford [u.a.]␟Oxford [u.a.]	eng	(DE-600)780702-8␟(DE-101)014285290
2002016-8	Oxford	eng	(DE-600)230743-1␟(DE-101)011377321
2003695-4	Getzville, NY␟Dordrecht [u.a.]␟Dordrecht [u.a.]	eng	(DE-600)1440052-2␟(DE-101)019339704
