publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	own_anchor	package:collection	all_issns	zdb_id
Палимпсест = Palimpsest: International Journal for Linguistic, Literary and Cultural Research	2545-398X	2545-3998	2016	1					https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6		492835		fulltext		Faculty of Philology tip; CEEOL	Serial		NALKD:natli_ceeol	2545-398X;2545-3998	3199252-3
Časopis pro Moderní Filologii = Journal for Modern Philology (2009-2012)	0862-8459	2336-6591	2009	91		2012	94		https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6		134815		fulltext		Ústav pro Jazyk Cesky, Akademie Ved CR ; CEEOL 	Serial		NALKD:natli_ceeol	0862-8459;2336-6591	2554882-7
Časopis pro Moderní Filologii = Journal for Modern Philology (2013-)	0008-7386	2336-6591	2013	95					https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6		246294		fulltext		Filozofická fakulta Univerzity Karlovy ; CEEOL	Serial		NALKD:natli_ceeol	0008-7386;2336-6591	2554882-7
Česlovo Miloo Skaitymai = Czeslaw Miloszs Readings	2029-8552	2029-8692	2007	1		2013	6		https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6		179807		fulltext		Vytauto Didziojo Universitetas ; CEEOL	Serial		NALKD:natli_ceeol	2029-8552;2029-8692	2652617-7
Čudoezikovo Obučenie = Foreign Language Teaching: Bulgarian Educational Journal	0205-1834	1314-8508	2016	43					https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6		310284		fulltext		Az-Buki, Nacionalno izdatelstvo za obrazovanie i nauka ; CEEOL	Serial		NALKD:natli_ceeol	0205-1834;1314-8508	2906276-7
İdil Sanat ve Dil Dergisi = Idil Journal of Art and Language = Idil Zurnal ob Iskusstve i Jazyke	2146-9903	2147-3056	2012	1					https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6		202009		fulltext		Sanat ve Dil Arastırmaları Enstitüsü ; CEEOL	Serial		NALKD:natli_ceeol	2146-9903;2147-3056	2740229-0
Świat i Słowo = World and Word	1731-3317		2017	28					https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6		192865		fulltext		Akademia Techniczno-Humanistyczna w Bielsku-Białej ; CEEOL 	Serial		NALKD:natli_ceeol	1731-3317	2693031-6
A. Williams & Co.'S List of All the New Books Issued in the United States 			1868			1868			https://search.ebscohost.com/login.aspx?direct=true&db=h9m&jid=6K48&site=ehost-live		176402		fulltext		American Antiquarian Society Historical Periodicals via EBSCO Host	Serial		NALAS:natli_aas5		
ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (1996 - 2021)	0720-6763	2191-4664	1996	16	1	2021	41		https://www.degruyterbrill.com/journal/key/ABITECH/html		157023		fulltext		De Gruyter Brill	Serial			0720-6763;2191-4664	2598795-1
ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (1996 - 2021)	0720-6763	2191-4664	1996	16		2021	41		https://www.degruyterbrill.com/journal/key/ABITECH/html		157023		fulltext		De Gruyter Brill	Serial		NALIG:natli_degruyter_archive	0720-6763;2191-4664	2598795-1
