code,language
aar,Afar
abk,Abchasisch
ace,Achinesisch
ach,Acoli
ada,Adangbe
ady,Adygeisch
afa,Afro-Asiatische Sprachen (andere)
afh,Afrihili
afr,Afrikaans
ain,Ainu
aka,Akan
akk,Akkadisch
alb,Albanisch
ale,Unangam Tunuu
alg,Algonkin-Sprachen
alt,Altaisch
amh,Amharisch
ang,Alt-Englisch (ca.450-1100)
anp,Angika
apa,Apache-Sprachen
ara,Arabisch
arc,Aramäisch
arg,Aragonesisch
arm,Armenisch
arn,Mapudungun
arp,Arapaho
art,Künstliche Sprachen
arw,Arawak-Sprachen
asm,Assamesisch
ast,Asturisch
ath,Athapaskische Sprachen
aus,Australische Sprachen
ava,Awarische Sprache
ave,Avestisch
awa,Awadhi
aym,Aimara
aze,Aserbeidschanisch
bad,Banda-Sprachen
bai,Bamileke-Sprachen
bak,Baschkirisch
bal,Belutschi
bam,Bambara
ban,Balinesisch
baq,Baskisch
bas,Basa
bat,Baltische Sprachen
bej,Bedscha
bel,Weißrussisch
bem,Bemba
ben,Bengalisch
ber,Berber-Sprachen (andere)
bho,Bhojpuri
bih,Biharisch
bik,Bikol
bin,Edo
bis,Bislama
bla,Blackfoot-Sprache
bnt,Bantu-Sprachen
bos,Bosnisch
bra,Braj
bre,Bretonisch
btk,Batak-Sprachen
bua,Burjatisch
bug,Buginesisch
bul,Bulgarisch
bur,Birmanisch
byn,Bilen
cad,Caddo
cai,Zentralamerikanische Sprachen
car,Galibi
cat,Katalanisch
cau,Kaukasisch (andere)
ceb,Cebuano
cel,Keltisch (andere)
cha,Chamorro
chb,Chibcha
che,Tschetschenisch
chg,Chagatai
chi,Chinesisch
chk,Chuukesisch
chm,Mari
chn,Chinook Wawa
cho,Choctaw
chp,Chipewyan
chr,Cherokee
chu,Kirchenslawisch
chv,Tschuwaschische Sprache
chy,Cheyenne
cmc,Cham
cop,Koptisch
cor,Kornisch
cos,Korsisch
cpe,"Kreolisch und Pidgin, englisch (andere)"
cpf,"Creolisch und Pidgin, franz. basiert"
cpp,"Kapverdisch (Creolisch und Pidgin, portugiesisch basiert)"
cre,Cree
crh,Krimtatarische Sprache
crp,Kreolisch und Pidgin (andere)
csb,Kaschubisch
cus,Kuschitische Sprachen (andere)
cze,Tschechisch
dak,Dakota
dan,Dänisch
dar,Dargwa
day,Dayak-Sprachen
del,Delaware
den,Slave-Athapaskisch
dgr,Dogrib
din,Dinka
div,Dhivehi
doi,Dogri
dra,Dravidische Sprachen (andere)
dsb,Niedersorbisch
dua,Duala
dum,Mittelniederländisch (ca. 1050-1350)
dut,Niederländisch
dyu,Dyula
dzo,Dzongkha
efi,Efik
egy,Ägyptisch
eka,Ekajuk
elx,Elamisch
eng,Englisch
enm,Mittelenglisch (1100-1500)
epo,Esperanto
est,Estnisch
ewe,Ewe
ewo,Ewondo
fan,Fang
fao,Färöisch
fat,Fanti
fij,Fidschianisch
fil,Filipino
fin,Finnisch
fiu,Finno-ugrische Sprachen (andere)
fon,Fong
fre,Französisch
frm,Mittelfranzösisch (ca.1400-1600)
fro,Altfranzösisch (842-ca.1400)
frr,Nordfriesisch
frs,Ostfriesisch
fry,Westfriesisch
ful,Ful
fur,Friaulisch
gaa,Ga
gay,Gayo
gba,Gbaya
gem,Germanische Sprachen (andere)
geo,Georgisch (= Grusinisch)
ger,Deutsch
gez,Altäthiopisch
gil,I-Kiribati
gla,"Gälisch, Schottisches Gälisch"
gle,Irisch
glg,Galizisch
glv,Manx-Gälisch
gmh,Mittelhochdeutsch (ca.1050-1500)
goh,Althochdeutsch (ca.750-1050)
gon,Gondi
gor,Gorontalo
got,Gotisch
grb,Grebo
grc,Altgriechisch (bis 1453)
gre,Griechisch
grn,Guarani
gsw,Schweizerdeutsch
guj,Gujarati
gwi,Gwich´in
hai,Haida
hat,Haitianisch
hau,Haussa
haw,Hawaiische Sprache
heb,Hebräisch
her,Herero
hil,Hiligaynon
him,Himachali
hin,Hindi
hit,Hethitisch
hmn,Hmong
hmo,Hiri Motu
hrv,Kroatisch
hsb,Obersorbisch
hun,Ungarisch
hup,Hupa
iba,Iban
ibo,Igbo
ice,Isländisch
ido,Ido
