id	display	title	usageRestriction	filterDigital	filterSource	filterMedium_mv	filterType_mv	displayAddition2	source	publisherOriginalText_mv	identifier_id_mv	issn_mv	publisherOriginalLocation_mv	filterLanguage_mv	publicationHistory	textualHolding_mv	displayAddition1	filterDateRange_mv	filterDatePoint_mv	website_description_mv	website_url_mv	identifier_type_mv	relation_id_mv	relation_type_mv	relation_text_mv
EZB492835	Палимпсест = Palimpsest: International Journal for Linguistic, Literary and Cultural Research	Палимпсест = Palimpsest: International Journal for Linguistic, Literary and Cultural Research	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	Faculty of Philology tip; CEEOL	3199252-3	2545-3998	Štip	Vielsprachig	1 (2016) -	1 (2016) -	Faculty of Philology tip; CEEOL, 1 (2016) -	2016	2016-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?3199252&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6	572z			
EZB134815	Časopis pro Moderní Filologii = Journal for Modern Philology (2009-2012)	Časopis pro Moderní Filologii = Journal for Modern Philology (2009-2012)	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	Ústav pro Jazyk Cesky, Akademie Ved CR ; CEEOL	2554882-7	2336-6591	Praha	Tschechisch	91 (2009) - 94 (2012)	91 (2009) - 94 (2012)	Ústav pro Jazyk Cesky, Akademie Ved CR ; CEEOL, 91 (2009) - 94 (2012)	[2009 TO 2012]	2009-01-01T00:00:00Z␟2012-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2554882&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6	572z	AK00005112	Erscheint auch als Druck-Ausgabe	Časopis pro moderní filologii
EZB246294	Časopis pro Moderní Filologii = Journal for Modern Philology (2013-)	Časopis pro Moderní Filologii = Journal for Modern Philology (2013-)	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	Filozofická fakulta Univerzity Karlovy ; CEEOL	2554882-7	2336-6591	Praha	Tschechisch	95 (2013) -	95 (2013) -	Filozofická fakulta Univerzity Karlovy ; CEEOL, 95 (2013) -	2013	2013-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2554882&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6	572z	AK00005112	Erscheint auch als Druck-Ausgabe	Časopis pro moderní filologii
EZB179807	Česlovo Miloo Skaitymai = Czeslaw Miloszs Readings	Česlovo Miloo Skaitymai = Czeslaw Miloszs Readings	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	Vytauto Didziojo Universitetas ; CEEOL	2652617-7	2029-8692	Kaunas; Frankfurt, Main	Litauisch	1 (2007) - 6 (2013)	1 (2007) - 6 (2013)	Vytauto Didziojo Universitetas ; CEEOL, 1 (2007) - 6 (2013)	[2007 TO 2013]	2007-01-01T00:00:00Z␟2013-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2652617&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6	572z			
EZB310284	Čudoezikovo Obučenie = Foreign Language Teaching: Bulgarian Educational Journal	Čudoezikovo Obučenie = Foreign Language Teaching: Bulgarian Educational Journal	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	Az-Buki, Nacionalno izdatelstvo za obrazovanie i nauka ; CEEOL	2906276-7	1314-8508	Sofija	Bulgarisch	43 (2016) -	43 (2016) -	Az-Buki, Nacionalno izdatelstvo za obrazovanie i nauka ; CEEOL, 43 (2016) -	2016	2016-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2906276&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6	572z			
EZB202009	İdil Sanat ve Dil Dergisi = Idil Journal of Art and Language = Idil Zurnal ob Iskusstve i Jazyke	İdil Sanat ve Dil Dergisi = Idil Journal of Art and Language = Idil Zurnal ob Iskusstve i Jazyke	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	Sanat ve Dil Arastırmaları Enstitüsü ; CEEOL	2740229-0	2147-3056	Konya; Frankfurt, M.	Türkisch␟Englisch␟Russisch	1 (2012) -	1 (2012) -	Sanat ve Dil Arastırmaları Enstitüsü ; CEEOL, 1 (2012) -	2012	2012-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2740229&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6	572z			
EZB192865	Świat i Słowo = World and Word	Świat i Słowo = World and Word	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	Akademia Techniczno-Humanistyczna w Bielsku-Białej ; CEEOL	2693031-6		Bielsko-Biała	Polnisch␟Englisch	28 (2017) -	28 (2017) -	Akademia Techniczno-Humanistyczna w Bielsku-Białej ; CEEOL, 28 (2017) -	2017	2017-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2693031&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6	572z			
EZB176402	A. Williams & Co.'S List of All the New Books Issued in the United States	A. Williams & Co.'S List of All the New Books Issued in the United States	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	American Antiquarian Society Historical Periodicals via EBSCO Host					1868 - 1868	1868 - 1868	American Antiquarian Society Historical Periodicals via EBSCO Host, 1868 - 1868	[1868 TO 1868]	1868-01-01T00:00:00Z	Volltext (Verlag)	https://search.ebscohost.com/login.aspx?direct=true&db=h9m&jid=6K48&site=ehost-live				
EZB157023	ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (1996 - 2021)	ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (1996 - 2021)	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	De Gruyter Brill	2598795-1	2191-4664	Berlin	Deutsch	16 (1996), 1 - 41 (2021)	16 (1996), 1 - 41 (2021)	De Gruyter Brill, 16 (1996), 1 - 41 (2021)	[1996 TO 2021]	1996-01-01T00:00:00Z␟2021-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2598795&bibid=DLA␟https://www.degruyterbrill.com/journal/key/ABITECH/html	572z	AK00008801	Erscheint auch als Druck-Ausgabe	ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen
EZB486939	ABI-Technik: Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (2022-)	ABI-Technik: Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (2022-)	benutzbar	True	Elektronische Zeitschriftenbibliothek	Zeitschrift	Gedrucktes	Volltext (Elektronische Zeitschriftenbibliothek)	AK	de Gruyter Saur	2598795-1	2191-4664	Berlin	Deutsch	42 (2022) -	42 (2022) -	de Gruyter Saur, 42 (2022) -	2022	2022-01-01T00:00:00Z	Volltext (EZB)␟Volltext (Verlag)	http://ezb.uni-regensburg.de/?2598795&bibid=DLA␟https://www.degruyterbrill.com/journal/key/ABITECH/html	572z	AK00008801	Erscheint auch als Druck-Ausgabe	ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen
