ak_id,ezb_id,ezb_display
AK00005112,EZB134815,Časopis pro Moderní Filologii = Journal for Modern Philology (2009-2012)
AK00005112,EZB246294,Časopis pro Moderní Filologii = Journal for Modern Philology (2013-)
AK00008801,EZB157023,"ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (1996 - 2021)"
AK00008801,EZB486939,"ABI-Technik: Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen (2022-)"
AK01788492,EZB54201,Acta Philosophica
AK00022389,EZB352225,Acta Universitatis Carolinae. Philologica
AK00181568,EZB352225,Acta Universitatis Carolinae. Philologica
AK01010478,EZB465464,Acta Universitatis Lodziensis. Folia Germanica
AK00007784,EZB125062,Agathon
AK00006836,EZB129177,"Aktion , Die"
AK00049669,EZB94241,Anachronia
AK00993678,EZB160043,Angermion
AK00005624,EZB176977,Annalen der Philosophie
AK01197238,EZB110824,Annalen der Philosophie und philosophischen Kritik
AK00006042,EZB103188,Arbitrium : Zeitschrift für Rezensionen zur germanistischen Literaturwissenschaft
AK00003573,EZB46683,Arcadia: International Journal of Literary Culture - Internationale Zeitschrift für literarische Kultur
AK00003573,EZB64627,Arcadia: Zeitschrift für Allgemeine und Vergleichende Literaturwissenschaft
AK00005188,EZB115525,Archiv für Begriffsgeschichte (1955-2011)
AK00005188,EZB477515,Archiv für Begriffsgeschichte (AfB) (2001-)
AK00005188,EZB240722,Archiv für Begriffsgeschichte (AfB)
AK00002886,EZB110161,Archiv für das Studium der neueren Sprachen und Literaturen
AK01440232,EZB110161,Archiv für das Studium der neueren Sprachen und Literaturen
AK00579581,EZB82792,Archivio di Filosofia
AK00006849,EZB129179,"Argonauten, Die"
AK01383127,EZB200118,Argument : Biannual Philosophical Journal
AK00263286,EZB129395,Arkadia
AK00008309,EZB129180,Aufschwung
AK00008990,EZB129182,"Bastard, Der"
AK00009009,EZB130287,"Beiblatt der Bücherei Maiandros, Das"
AK00002911,EZB48541,Beiträge zur Geschichte der Deutschen Sprache und Literatur (1874 - 1979)
AK00002909,EZB48541,Beiträge zur Geschichte der Deutschen Sprache und Literatur (1874 - 1979)
AK00002911,EZB62125,"Beiträge zur Geschichte der Deutschen Sprache und Literatur (PBB West, 1955 - 1995)"
AK00002911,EZB103835,"Beiträge zur Geschichte der Deutschen Sprache und Literatur (PBB, Paul-Braunes Beiträge) (1874 -)"
AK01831608,EZB515288,Berlin Review : Zeitschrift für Bücher und Ideen
AK00008987,EZB129176,Berliner Romantik
